Sample,LabID,Sample.ID,Genetic.Sex,Individual.ID,Pod,Region,MiSeq.run,Population,year,month,day,latitudeN,longitudeW,dom.sp,prey50
52357-24_S27,52357-24,NGOS_2020_42,Male,ARKW_42,ARKW,West PWS,2021P1,ARKW,2020,9,3,60.115,147.877,chinook,chinook
52357-32_S32,52357-32,NGOS_2020_39,Female,ARKW_43,ARKW,West PWS,2021P1,ARKW,2020,8,28,59.873,147.898,coho,coho
52358-52_S19,52358-52,NGOS_2021_44,Male,ARKW_64,ARKW,West PWS,2021P2,ARKW,2021,7,2,60.332,147.987,halibut,halibut
52358-53_S20,52358-53,NGOS_2021_43,Male,ARKW_64,ARKW,West PWS,2021P2,ARKW,2021,7,2,60.325,147.99,NA,None
52357-30_S30,52357-30,NGOS_2020_41,Female,ARKW_43,ARKW,West PWS,2021P1,ARKW,2020,8,28,59.805,148.027,coho,coho
51530-045_S6,51530-045,NGOS_2018_17,Female,ARKW_25,ARKW,Kenai Fjord,2019,ARKW,2018,6,4,59.921,149.167,chum,chum
51530-046_S16,51530-046,NGOS_2018_18,Female,ARKW_26,ARKW,Kenai Fjord,2019,AOKW,2018,6,5,59.962,149.19,chinook,chinook
51530-044_S81,51530-044,NGOS_2018_16,Undetermined,ARKW_08,ARKW,Kenai Fjord,2019,ARKW,2018,5,31,59.864,149.265,chum,chum
51530-031_S26,51530-031,NGOS_2018_05a,Male,ARKW_21,ARKW,Kenai Fjord,2019,ARKW,2018,5,24,59.895,149.319,chinook,chinook
51530-032_S37,51530-032,NGOS_2018_05b,Male,ARKW_21,ARKW,Kenai Fjord,2019,ARKW,2018,5,24,59.895,149.319,chinook,chinook
51530-036_S80,51530-036,NGOS_2018_08,Male,ARKW_03,ARKW,Kenai Fjord,2019,ARKW,2018,5,27,59.796,149.367,chum,chum
52332-8_S6,52332-08,NGOS_2019_10,Male,ARKW_02,ARKW,Kenai Fjord,2021P1,ARKW,2019,5,26,59.783,149.392,chinook,chinook
